"complaint_text","priority"
"Major debt completely unrecoverable","High"
"Slow rendering of elements","Medium"
"Occasional freezes in video controls","Medium"
"Minor delays in provisioning users","Medium"
"Understood","Other"
"Beyond excited","Other"
"File sync occasionally fails","Medium"
"Complete infrastructure collapse imminent","High"
"Occasional freezes in epic planning","Medium"
"Bingo","Other"
"Background sync occasionally blocked","Medium"
"Any minute now","Other"
"Critical court date scheduled","High"
"Request to add presence indicators","Low"
"Suggestion to improve UI design","Low"
"File processing occasionally stalls","Medium"
"Although","Other"
"Request to add cumulative flow diagrams","Low"
"What's happening","Other"
"Background tasks occasionally lag","Medium"
"Well done you","Other"
"Goodbye","Other"
"Works for me","Other"
"Possibly","Other"
"Emergency infrastructure meltdown","High"
"Often","Other"
"Minor lag in interface","Medium"
"Minor delays in operations","Medium"
"Background jobs queue slowly","Medium"
"Sure why not","Other"
"Likewise","Other"
"Complete loss of primary datacenter","High"
"Slowly but surely","Other"
"Sending good vibes","Other"
"Request to add feedback system","Low"
"How have you been","Other"
"Occasional timeout on save","Medium"
"Finally","Other"
"Slow loading of webhook configuration","Medium"
"Complete operational shutdown","High"
"Critical mass casualty event","High"
"Add option to analyze results","Low"
"Occasional delays in rendering","Medium"
"Keep it up","Other"
"Add ability to create filters","Low"
"Add ability to manage users","Low"
"Request to add knowledge base","Low"
"Suggestion to add more notification types","Low"
"Before I forget","Other"
"Request to add client management","Low"
"Slow form rendering","Medium"
"As I was saying","Other"
"Critical infrastructure collapse","High"
"Love always","Other"
"Background sync occasionally fails validation","Medium"
"Background sync occasionally hangs","Medium"
"Critical authentication failed permanently","High"
"Cloud storage inaccessible","High"
"Request to add burndown charts","Low"
"Suggestion to add more charts","Low"
"Request to add comparison mode","Low"
"Severe data breach in customer records","High"
"Ready to start","Other"
"Got a plan","Other"
"Believe in yourself","Other"
"Hey buddy","Other"
"Form validation occasionally blocks","Medium"
"You might be right","Other"
"Forever","Other"
"Occasional glitches in display","Medium"
"Critical infrastructure fire detected","High"
"Emergency employment terminated forever","High"
"Critical reputation destroyed","High"
"Excellent","Other"
"Emergency absolute infrastructure failure","High"
"Slow form field rendering","Medium"
"Request to add data migration","Low"
"Critical being declared non-entity","High"
"Please add keyboard shortcuts","Low"
"Critical failure affecting all operations","High"
"Add ability to monitor social channels","Low"
"Request to add resource management","Low"
"Input","Other"
"API calls occasionally timeout","Medium"
"Request to add API access","Low"
"Suggestion to add more color schemes","Low"
"Add option to create alerts","Low"
"API endpoints occasionally crash","Medium"
"Later","Other"
"Until then","Other"
"After that","Other"
"Add option to set defaults","Low"
"Request to add environment management","Low"
"Lovely","Other"
"Critical system breach detected","High"
"Minor delays in email sending","Medium"
"Background jobs occasionally time out","Medium"
"Add ability to manage teams","Low"
"Pleasant","Other"
"Critical security breach expanding","High"
"That's great news","Other"
"By the way","Other"
"Slow page transitions","Medium"
"Emergency reality membership revoked","High"
"Add ability to version data","Low"
"Background sync occasionally crashes","Medium"
"Emergency maintenance critical","High"
"Core infrastructure compromised","High"
"What do you think","Other"
"Emergency maintenance required","High"
"Minor delays in compliance checks","Medium"
"Add ability to schedule announcements","Low"
"Add option to track shipments","Low"
"Add option to manage articles","Low"
"Sweet","Other"
"Request to add LDAP integration","Low"
"Suggestion to improve contrast","Low"
"Different subject","Other"
"Background processes occasionally stall","Medium"
"Critical vulnerability being exploited","High"
"Moving forward","Other"
"Request to add category filters","Low"
"One thing at a time","Other"
"Suggestion to reorganize menu","Low"
"Critical loss of data integrity","High"
"You're the best","Other"
"Some day","Other"
"Critical consciousness upload failed","High"
"Critical chakra alignment failed","High"
"Critical wildfire approaching facility","High"
"Request to change password","Low"
"Occasional delays in background sync","Medium"
"Issues","Other"
"API rate limits reached","Medium"
"My thoughts exactly","Other"
"Great effort","Other"
"Total organizational collapse","High"
"Emergency complete universal failure","High"
"Critical all primary systems down","High"
"Suggestion to add more indicators","Low"
"Suggestion to add more menus","Low"
"Suggestion to add quick actions","Low"
"Slow loading of presence data","Medium"
"Server room fire alarm activated","High"
"Progress","Other"
"Data center fire suppression system activated","High"
"Major infrastructure total failure","High"
"Critical mission failure imminent","High"
"Minor lag in form validation","Medium"
"Make progress","Other"
"I concur","Other"
"Add option to version configurations","Low"
"Dashboard widgets occasionally rejected","Medium"
"Form submissions occasionally return null","Medium"
"Server explosion risk detected","High"
"Add option to visualize flow","Low"
"Cordially","Other"
"Request to add encryption management","Low"
"Unauthorized access detected in admin panel","High"
"Occasional page reloads","Medium"
"Emergency global absolute failure","High"
"Major heat death of universe","High"
"Critical security alert active","High"
"Critical simulation shutting down","High"
"Critical earthquake damaging facility","High"
"Great talking to you","Other"
"Background tasks occasionally timeout","Medium"
"Little by little","Other"
"Can't complain","Other"
"Very excited","Other"
"Multiple critical alerts firing simultaneously","High"
"Add option to filter search results","Low"
"Add option to schedule reports","Low"
"Add option to analyze market share","Low"
"Major absolute infrastructure collapse","High"
"Add option to schedule backups","Low"
"Recent updates","Other"
"Critical load balancer failure","High"
"Background service slow","Medium"
"File operations occasionally lag","Medium"
"Future plans","Other"
"Slow form submissions","Medium"
"API pagination slow","Medium"
"Request to add scrum tools","Low"
"Request to add reporting dashboard","Low"
"Critical system component failure","High"
"Request to add secrets management","Low"
"Request to change profile theme","Low"
"Major emergency total failure","High"
"Add contextual help tooltips","Low"
"System unavailable after upgrade","High"
"Suggestion to add more shortcuts","Low"
"Major cosmic support terminated","High"
"Critical universal absolute failure","High"
"So yeah","Other"
"How's everything","Other"
"Suggestion to add more help content","Low"
"Total absolute catastrophic collapse","High"
"What now","Other"
"Minor stuttering in blocker updates","Medium"
"Change notification sound settings","Low"
"Critical retroactive non-existence","High"
"Modal dialogs load slowly","Medium"
"Better luck next time","Other"
"Form submission occasionally delays","Medium"
"Definitely","Other"
"Critical total absolute collapse","High"
"You're awesome","Other"
"Suggestion to improve mobile layout","Low"
"Request to add warehouse management","Low"
"Suggestion to add more PR features","Low"
"Add option to respond to reviews","Low"
"Request to add sorting options","Low"
"Video buffering during playback","Medium"
"File operations occasionally timeout","Medium"
"Occasional delays in loading","Medium"
"Moving on","Other"
"Add ability to create workflows","Low"
"Glass half full","Other"
"Add option to update profile picture","Low"
"Minor performance degradation","Medium"
"Slow loading of aging data","Medium"
"Game on","Other"
"Gradual progress","Other"
"Background operations slow","Medium"
"Same here","Other"
"Critical cooling system failure in datacenter","High"
"Suggestion to add more capacity features","Low"
"Critical ethical framework collapsed","High"
"Suggestion to add more recovery tools","Low"
"Add ability to track throughput","Low"
"Request to add cycle time tracking","Low"
"To summarize","Other"
"Total critical emergency situation","High"
"Emergency system shutdown needed","High"
"Usually","Other"
"Request to add dashboard customization","Low"
"Catastrophic database failure","High"
"What are you up to","Other"
"Request to add help tooltips","Low"
"Major incident affecting global operations","High"
"Well said","Other"
"Suggestion to add more filters","Low"
"Emergency astral projection failed","High"
"Minor delays in API calls","Medium"
"Request to add custom views","Low"
"Change of subject","Other"
"Critical catastrophic universal failure","High"
"Add ability to track incidents","Low"
"Slow loading of certificate data","Medium"
"SQL injection vulnerability found","High"
"Sounds like a plan","Other"
"Coming up","Other"
"Add ability to comment inline","Low"
"You said it","Other"
"API endpoint occasionally slow","Medium"
"Minor UI glitches","Medium"
"Now where was I","Other"
"Comments","Other"
"Suggestion to add more user groups","Low"
"What did I miss","Other"
"How was your day","Other"
"Emergency absolute catastrophic failure","High"
"Occasional connection drops","Medium"
"Thanks for listening","Other"
"API endpoints occasionally return empty","Medium"
"Just a moment","Other"
"Slow loading of forms","Medium"
"Occasional lag in screen sharing","Medium"
"Hit the nail on the head","Other"
"Live and learn","Other"
"Critical catastrophic event occurring","High"
"POS system down during business hours","High"
"That's it","Other"
"Emergency grandfather paradox created","High"
"Request to add review management","Low"
"Form submissions occasionally fail","Medium"
"Background sync occasionally delays","Medium"
"Request to add copy function","Low"
"Occasional stuttering in forms","Medium"
"Slow response from external APIs","Medium"
"A plus","Other"
"Emergency subpoena served","High"
"File uploads occasionally hang","Medium"
"Critical total system annihilation","High"
"Need help accessing help section","Low"
"Minor delays in loading views","Medium"
"Request to add grid view","Low"
"Occasional freezes in API calls","Medium"
"Gold star","Other"
"Need to know","Other"
"Yeah","Other"
"API rate limits occasionally reached","Medium"
"Slow loading of risk data","Medium"
"Email sync issues","Medium"
"Suggestion to add more reports","Low"
"Heard anything","Other"
"All is well","Other"
"Complete data center outage","High"
"Critical entire network compromised","High"
"Your call","Other"
"Occasional freezes during uploads","Medium"
"Occasional freezes in version control","Medium"
"Emergency salvation window closed","High"
"File metadata loading slow","Medium"
"Slow loading of impediment data","Medium"
"Add ability to search articles","Low"
"Request to add authentication options","Low"
"Update me","Other"
"Dashboard refresh occasionally delays","Medium"
"Occasional freezes in capacity tools","Medium"
"Critical life safety systems compromised","High"
"Request to add crisis communication","Low"
"Minor memory leaks","Medium"
"Complete system failure affecting all services","High"
"Request to add keyboard navigation","Low"
"Critical evacuation order issued","High"
"Periodically","Other"
"Suggestion to add more compliance tools","Low"
"Just a sec","Other"
"Home stretch","Other"
"Looking up","Other"
"But","Other"
"Total global catastrophic collapse","High"
"Background operations occasionally corrupt","Medium"
"Prepared","Other"
"Total loss of all infrastructure","High"
"Add ability to send push alerts","Low"
"Major spiritual awakening failed","High"
"What a relief","Other"
"Where were we","Other"
"Could be","Other"
"Keep me updated","Other"
"Request to add text size adjustment","Low"
"Everything will work out","Other"
"Request to add industry benchmarks","Low"
"Complete network infrastructure collapse","High"
"Shall we start","Other"
"Critical legal action imminent","High"
